LayerName,FilterType,typeCode,TypeCodeDescription,LayerDescription,ProjectionDate,RCP
clim.gd4570.bio2,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) GD RCP45 2070,2070,45
clim.gd4570.bio3,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) GD RCP45 2070,2070,45
clim.gd4570.bio4,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) GD RCP45 2070,2070,45
clim.gd4570.bio5,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month GD RCP45 2070,2070,45
clim.gd4570.bio6,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month GD RCP45 2070,2070,45
clim.gd4570.bio7,climate,bio07,Temperature Annual Range (BIO5-BIO6),Temperature Annual Range (BIO5-BIO6) GD RCP45 2070,2070,45
clim.gd4570.bio8,climate,bio08,Mean Temperature of Wettest Quarter,Mean Temperature of Wettest Quarter GD RCP45 2070,2070,45
clim.gd4570.bio9,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter GD RCP45 2070,2070,45
clim.gs4550.bio1,climate,bio01,Annual Mean Temperature,Annual Mean Temperature GS RCP45 2050,2050,45
clim.gs4550.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter GS RCP45 2050,2050,45
clim.gs4550.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter GS RCP45 2050,2050,45
clim.gs4550.bio12,climate,bio12,Annual Precipitation,Annual Precipitation GS RCP45 2050,2050,45
clim.gs4550.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month GS RCP45 2050,2050,45
clim.gs4550.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month GS RCP45 2050,2050,45
clim.gs4550.bio15,climate,bio15,Precipitation Seasonality (Coefficient of Variation),Precipitation Seasonality (Coefficient of Variation) GS RCP45 2050,2050,45
clim.gs4550.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter GS RCP45 2050,2050,45
clim.gs4550.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter GS RCP45 2050,2050,45
clim.gs4550.bio18,climate,bio18,Precipitation of Warmest Quarter,Precipitation of Warmest Quarter GS RCP45 2050,2050,45
clim.gs4550.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter GS RCP45 2050,2050,45
clim.gs4550.bio2,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) GS RCP45 2050,2050,45
clim.gs4550.bio3,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) GS RCP45 2050,2050,45
clim.gs4550.bio4,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) GS RCP45 2050,2050,45
clim.gs4550.bio5,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month GS RCP45 2050,2050,45
clim.gs4550.bio6,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month GS RCP45 2050,2050,45
clim.gs4550.bio7,climate,bio07,Temperature Annual Range (BIO5-BIO6),Temperature Annual Range (BIO5-BIO6) GS RCP45 2050,2050,45
clim.gs4550.bio8,climate,bio08,Mean Temperature of Wettest Quarter,Mean Temperature of Wettest Quarter GS RCP45 2050,2050,45
clim.gs4550.bio9,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter GS RCP45 2050,2050,45
clim.gs4570.bio1,climate,bio01,Annual Mean Temperature,Annual Mean Temperature GS RCP45 2070,2070,45
clim.gs4570.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter GS RCP45 2070,2070,45
clim.gs4570.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter GS RCP45 2070,2070,45
clim.gs4570.bio12,climate,bio12,Annual Precipitation,Annual Precipitation GS RCP45 2070,2070,45
clim.gs4570.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month GS RCP45 2070,2070,45
clim.gs4570.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month GS RCP45 2070,2070,45
clim.gs4570.bio15,climate,bio15,Precipitation Seasonality (Coefficient of Variation),Precipitation Seasonality (Coefficient of Variation) GS RCP45 2070,2070,45
clim.gs4570.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter GS RCP45 2070,2070,45
clim.gs4570.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter GS RCP45 2070,2070,45
clim.gs4570.bio18,climate,bio18,Precipitation of Warmest Quarter,Precipitation of Warmest Quarter GS RCP45 2070,2070,45
clim.gs4570.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter GS RCP45 2070,2070,45
clim.gs4570.bio2,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) GS RCP45 2070,2070,45
clim.gs4570.bio3,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) GS RCP45 2070,2070,45
clim.gs4570.bio4,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) GS RCP45 2070,2070,45
clim.gs4570.bio5,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month GS RCP45 2070,2070,45
clim.gs4570.bio6,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month GS RCP45 2070,2070,45
clim.gs4570.bio7,climate,bio07,Temperature Annual Range (BIO5-BIO6),Temperature Annual Range (BIO5-BIO6) GS RCP45 2070,2070,45
clim.gs4570.bio8,climate,bio08,Mean Temperature of Wettest Quarter,Mean Temperature of Wettest Quarter GS RCP45 2070,2070,45
clim.gs4570.bio9,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter GS RCP45 2070,2070,45
clim.he2650.bio1,climate,bio01,Annual Mean Temperature,Annual Mean Temperature HE RCP26 2050,2050,26
clim.he2650.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter HE RCP26 2050,2050,26
clim.he2650.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter HE RCP26 2050,2050,26
clim.he2650.bio12,climate,bio12,Annual Precipitation,Annual Precipitation HE RCP26 2050,2050,26
clim.he2650.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month HE RCP26 2050,2050,26
clim.he2650.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month HE RCP26 2050,2050,26
clim.he2650.bio15,climate,bio15,Precipitation Seasonality (Coefficient of Variation),Precipitation Seasonality (Coefficient of Variation) HE RCP26 2050,2050,26
clim.he2650.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter HE RCP26 2050,2050,26
clim.he2650.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter HE RCP26 2050,2050,26
clim.he2650.bio18,climate,bio18,Precipitation of Warmest Quarter,Precipitation of Warmest Quarter HE RCP26 2050,2050,26
clim.he2650.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter HE RCP26 2050,2050,26
clim.he2650.bio2,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) HE RCP26 2050,2050,26
clim.he2650.bio3,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) HE RCP26 2050,2050,26
clim.he2650.bio4,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) HE RCP26 2050,2050,26
clim.he2650.bio5,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month HE RCP26 2050,2050,26
clim.he2650.bio6,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month HE RCP26 2050,2050,26
clim.he2650.bio7,climate,bio07,Temperature Annual Range (BIO5-BIO6),Temperature Annual Range (BIO5-BIO6) HE RCP26 2050,2050,26
clim.he2650.bio8,climate,bio08,Mean Temperature of Wettest Quarter,Mean Temperature of Wettest Quarter HE RCP26 2050,2050,26
clim.he2650.bio9,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter HE RCP26 2050,2050,26
clim.he2670.bio1,climate,bio01,Annual Mean Temperature,Annual Mean Temperature HE RCP26 2070,2070,26
clim.he2670.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter HE RCP26 2070,2070,26
clim.he2670.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter HE RCP26 2070,2070,26
clim.he2670.bio12,climate,bio12,Annual Precipitation,Annual Precipitation HE RCP26 2070,2070,26
clim.he2670.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month HE RCP26 2070,2070,26
clim.he2670.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month HE RCP26 2070,2070,26
clim.he2670.bio15,climate,bio15,Precipitation Seasonality (Coefficient of Variation),Precipitation Seasonality (Coefficient of Variation) HE RCP26 2070,2070,26
clim.he2670.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter HE RCP26 2070,2070,26
clim.he2670.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter HE RCP26 2070,2070,26
clim.he2670.bio18,climate,bio18,Precipitation of Warmest Quarter,Precipitation of Warmest Quarter HE RCP26 2070,2070,26
clim.he2670.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter HE RCP26 2070,2070,26
clim.he2670.bio2,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) HE RCP26 2070,2070,26
clim.he2670.bio3,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) HE RCP26 2070,2070,26
clim.he2670.bio4,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) HE RCP26 2070,2070,26
clim.he2670.bio5,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month HE RCP26 2070,2070,26
clim.he2670.bio6,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month HE RCP26 2070,2070,26
clim.he2670.bio7,climate,bio07,Temperature Annual Range (BIO5-BIO6),Temperature Annual Range (BIO5-BIO6) HE RCP26 2070,2070,26
clim.he2670.bio8,climate,bio08,Mean Temperature of Wettest Quarter,Mean Temperature of Wettest Quarter HE RCP26 2070,2070,26
clim.he2670.bio9,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter HE RCP26 2070,2070,26
clim.he4550.bio1,climate,bio01,Annual Mean Temperature,Annual Mean Temperature HE RCP45 2050,2050,45
clim.he4550.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter HE RCP45 2050,2050,45
clim.he4550.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter HE RCP45 2050,2050,45
clim.he4550.bio12,climate,bio12,Annual Precipitation,Annual Precipitation HE RCP45 2050,2050,45
clim.he4550.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month HE RCP45 2050,2050,45
clim.he4550.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month HE RCP45 2050,2050,45
clim.he4550.bio15,climate,bio15,Precipitation Seasonality (Coefficient of Variation),Precipitation Seasonality (Coefficient of Variation) HE RCP45 2050,2050,45
clim.he4550.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter HE RCP45 2050,2050,45
clim.he4550.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter HE RCP45 2050,2050,45
clim.he4550.bio18,climate,bio18,Precipitation of Warmest Quarter,Precipitation of Warmest Quarter HE RCP45 2050,2050,45
clim.he4550.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter HE RCP45 2050,2050,45
clim.he4550.bio2,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) HE RCP45 2050,2050,45
clim.he4550.bio3,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) HE RCP45 2050,2050,45
clim.he4550.bio4,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) HE RCP45 2050,2050,45
clim.he4550.bio5,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month HE RCP45 2050,2050,45
clim.he4550.bio6,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month HE RCP45 2050,2050,45
clim.he4550.bio7,climate,bio07,Temperature Annual Range (BIO5-BIO6),Temperature Annual Range (BIO5-BIO6) HE RCP45 2050,2050,45
clim.he4550.bio8,climate,bio08,Mean Temperature of Wettest Quarter,Mean Temperature of Wettest Quarter HE RCP45 2050,2050,45
clim.he4550.bio9,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter HE RCP45 2050,2050,45
clim.he4570.bio1,climate,bio01,Annual Mean Temperature,Annual Mean Temperature HE RCP45 2070,2070,45
clim.he4570.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter HE RCP45 2070,2070,45
clim.he4570.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter HE RCP45 2070,2070,45
clim.he4570.bio12,climate,bio12,Annual Precipitation,Annual Precipitation HE RCP45 2070,2070,45
clim.he4570.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month HE RCP45 2070,2070,45
clim.he4570.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month HE RCP45 2070,2070,45
clim.he4570.bio15,climate,bio15,Precipitation Seasonality (Coefficient of Variation),Precipitation Seasonality (Coefficient of Variation) HE RCP45 2070,2070,45
clim.he4570.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter HE RCP45 2070,2070,45
clim.he4570.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter HE RCP45 2070,2070,45
clim.he4570.bio18,climate,bio18,Precipitation of Warmest Quarter,Precipitation of Warmest Quarter HE RCP45 2070,2070,45
clim.he4570.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter HE RCP45 2070,2070,45
clim.he4570.bio2,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) HE RCP45 2070,2070,45
clim.he4570.bio3,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) HE RCP45 2070,2070,45
clim.he4570.bio4,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) HE RCP45 2070,2070,45
clim.he4570.bio5,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month HE RCP45 2070,2070,45
clim.he4570.bio6,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month HE RCP45 2070,2070,45
clim.he4570.bio7,climate,bio07,Temperature Annual Range (BIO5-BIO6),Temperature Annual Range (BIO5-BIO6) HE RCP45 2070,2070,45
clim.he4570.bio8,climate,bio08,Mean Temperature of Wettest Quarter,Mean Temperature of Wettest Quarter HE RCP45 2070,2070,45
clim.he4570.bio9,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter HE RCP45 2070,2070,45
clim.he6050.bio1,climate,bio01,Annual Mean Temperature,Annual Mean Temperature HE RCP60 2050,2050,60
clim.he6050.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter HE RCP60 2050,2050,60
clim.he6050.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter HE RCP60 2050,2050,60
clim.he6050.bio12,climate,bio12,Annual Precipitation,Annual Precipitation HE RCP60 2050,2050,60
clim.he6050.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month HE RCP60 2050,2050,60
